i;HALL_A;HALL_B;COIL_A;COIL_B
0.339999;1682;54330;11226;61552
0.340999;1760;54356;11192;61482
0.341999;1832;54376;11158;61412
0.342999;1910;54404;11118;61342
0.343999;1988;54428;11082;61272
0.344999;2062;54448;11050;61204
0.345999;2138;54480;11014;61136
0.346999;2208;54504;10974;61064
0.347999;2286;54530;10936;60998
0.348999;2362;54556;10894;60928
0.349999;2438;54580;10856;60862
0.350999;2512;54612;10812;60800
0.351999;2586;54642;10774;60736
0.352999;2662;54676;10734;60670
0.353999;2734;54706;10694;60604
0.354999;2814;54738;10650;60536
0.355999;2888;54768;10608;60472
0.356999;2956;54804;10570;60406
0.357999;3034;54838;10530;60342
0.358999;3106;54874;10482;60278
0.359999;3184;54904;10442;60212
0.360999;3256;54948;10400;60150
0.361999;3328;54982;10350;60090
0.362999;3400;55018;10308;60032
0.363999;3476;55056;10262;59972
0.364999;3548;55098;10216;59910
0.365999;3618;55138;10172;59848
0.366999;3690;55178;10124;59790
0.367999;3760;55216;10076;59728
0.368999;3832;55262;10030;59666
0.369999;3906;55302;9986;59602
0.370999;3970;55348;9936;59540
0.371999;4040;55388;9890;59478
0.372999;4112;55438;9840;59418
0.373999;4180;55476;9792;59362
0.374999;4246;55522;9742;59302
0.375999;4320;55572;9692;59240
0.376999;4386;55614;9648;59182
0.377999;4456;55660;9598;59126
0.378999;4526;55712;9546;59060
0.379999;4592;55758;9496;59006
0.380999;4662;55814;9448;58944
0.381999;4730;55862;9402;58890
0.382999;4792;55914;9350;58832
0.383999;4860;55962;9300;58780
0.384999;4926;56014;9244;58724
0.385999;4988;56066;9190;58668
0.386999;5054;56118;9134;58608
0.387999;5116;56178;9084;58556
0.388999;5180;56228;9028;58502
0.389999;5244;56280;8968;58448
0.390999;5308;56336;8918;58390
0.391998;5368;56394;8862;58340
0.392998;5430;56452;8804;58290
0.393998;5490;56508;8748;58238
0.394998;5558;56572;8692;58186
0.395998;5614;56624;8638;58134
0.396998;5672;56684;8582;58082
0.397998;5736;56746;8520;58024
0.398998;5794;56802;8468;57978
0.399998;5852;56864;8406;57924
0.400998;5910;56922;8352;57872
0.401998;5968;56986;8290;57824
0.402998;6022;57046;8234;57770
0.403998;6082;57112;8174;57726
0.404998;6140;57172;8118;57678
0.405998;6190;57242;8054;57630
0.406998;6246;57302;7998;57580
0.407998;6302;57368;7934;57534
0.408998;6356;57430;7878;57486
0.409998;6410;57498;7816;57438
0.410998;6458;57562;7758;57392
0.411998;6514;57634;7700;57342
0.412998;6566;57698;7638;57302
0.413998;6618;57764;7576;57258
0.414998;6666;57836;7514;57210
0.415998;6714;57902;7450;57166
0.416998;6768;57980;7394;57124
0.417998;6816;58046;7334;57076
0.418998;6860;58116;7274;57034
0.419998;6908;58186;7208;56990
0.420998;6950;58256;7144;56948
0.421998;6998;58330;7080;56908
0.422998;7048;58398;7014;56866
0.423998;7092;58476;6950;56830
0.424998;7134;58546;6886;56788
0.425998;7176;58616;6816;56748
0.426998;7222;58688;6754;56702
0.427998;7266;58764;6686;56666
0.428998;7300;58834;6624;56628
0.429998;7350;58908;6556;56586
0.430998;7388;58982;6488;56548
0.431998;7424;59058;6422;56512
0.432998;7466;59132;6358;56472
0.433998;7504;59208;6288;56438
0.434998;7542;59284;6220;56402
0.435998;7582;59358;6154;56362
0.436998;7614;59438;6086;56328
0.437998;7648;59514;6020;56296
0.438998;7684;59586;5948;56260
0.439998;7718;59662;5882;56222
0.440998;7756;59742;5816;56188
0.441998;7784;59818;5748;56158
0.442998;7822;59896;5676;56124
0.443998;7854;59972;5608;56096
0.444998;7884;60050;5546;56062
0.445998;7910;60130;5478;56030
0.446998;7942;60208;5412;56000
0.447998;7968;60282;5340;55972
0.448998;7998;60362;5268;55938
0.449998;8028;60442;5196;55908
0.450998;8056;60520;5126;55876
0.451998;8084;60596;5056;55850
0.452998;8108;60674;4984;55818
0.453998;8132;60760;4916;55792
0.454998;8156;60838;4842;55762
0.455998;8182;60914;4774;55738
0.456998;8204;60996;4704;55710
0.457998;8230;61072;4630;55682
0.458998;8248;61154;4560;55658
0.459998;8270;61236;4490;55632
0.460998;8294;61322;4416;55606
0.461998;8312;61396;4354;55584
0.462998;8332;61482;4286;55556
0.463998;8352;61556;4210;55532
0.464998;8368;61640;4134;55508
0.465998;8382;61718;4060;55484
0.466998;8402;61800;3996;55468
0.467998;8420;61884;3922;55442
0.468998;8432;61968;3850;55422
0.469997;8448;62048;3774;55400
0.470997;8456;62128;3698;55380
0.471997;8472;62208;3630;55362
0.472997;8486;62294;3556;55338
0.473997;8496;62374;3484;55320
0.474997;8510;62454;3406;55300
0.475997;8522;62536;3332;55284
0.476997;8534;62618;3258;55266
0.477997;8540;62698;3180;55250
0.478997;8548;62784;3110;55234
0.479997;8558;62860;3036;55216
0.480997;8568;62942;2958;55202
0.481997;8574;63024;2886;55190
0.482997;8580;63110;2810;55172
0.483997;8582;63188;2736;55160
0.484997;8590;63266;2656;55144
0.485997;8592;63354;2582;55130
0.486997;8596;63438;2510;55120
0.487997;8602;63514;2430;55104
0.488997;8600;63600;2358;55094
0.489997;8602;63680;2280;55082
0.490997;8610;63762;2204;55074
0.491997;8608;63842;2136;55062
0.492997;8606;63922;2058;55054
0.493997;8606;64000;1982;55044
0.494997;8606;64082;1902;55036
0.495997;8608;64168;1840;55028
0.496997;8606;64246;1762;55018
0.497997;8600;64328;1688;55012
0.498997;8594;64408;1610;55004
0.499997;8594;64488;1532;54996
0.500997;8588;64574;1454;54996
0.501997;8584;64652;1382;54988
0.502997;8578;64736;1306;54982
0.503997;8570;64816;1230;54976
0.504997;8562;64898;1154;54974
0.505997;8556;64978;1078;54970
0.506997;8542;65060;1006;54966
0.507997;8538;65140;932;54964
0.508997;8526;65222;860;54964
0.509997;8518;65302;778;54960
0.510997;8506;65376;706;54958
0.511997;8496;65462;626;54958
0.512997;8484;4;552;54958
0.513997;8468;84;474;54958
0.514997;8460;166;398;54960
0.515997;8446;244;326;54962
0.516997;8434;322;250;54964
0.517997;8418;404;178;54968
0.518997;8406;486;100;54966
0.519997;8390;562;28;54970
0.520997;8372;644;65484;54976
0.521997;8352;726;65406;54976
0.522997;8338;802;65328;54984
0.523997;8318;882;65256;54986
0.524997;8300;966;65178;54994
0.525997;8288;1046;65110;54998
0.526997;8262;1122;65036;55008
0.527997;8246;1206;64956;55016
0.528997;8226;1288;64878;55018
0.529997;8202;1366;64804;55030
0.530997;8180;1444;64728;55038
0.531997;8160;1524;64654;55048
0.532997;8140;1602;64582;55056
0.533997;8116;1684;64500;55068
0.534997;8096;1760;64426;55082
0.535997;8072;1842;64350;55086
0.536997;8044;1926;64276;55100
0.537997;8020;2006;64200;55112
0.538997;7998;2086;64128;55124
0.539997;7970;2158;64050;55136
0.540997;7944;2242;63982;55148
0.541997;7922;2320;63914;55164
0.542997;7896;2396;63842;55180
0.543997;7866;2476;63766;55192
0.544997;7842;2552;63688;55208
0.545997;7814;2628;63614;55226
0.546997;7780;2712;63546;55242
0.547997;7750;2786;63474;55260
0.548997;7724;2868;63400;55278
0.549996;7690;2944;63326;55294
0.550996;7662;3024;63250;55310
0.551996;7634;3100;63180;55332
0.552996;7598;3180;63108;55352
0.553996;7566;3254;63032;55370
0.554996;7530;3334;62958;55394
0.555996;7498;3412;62880;55410
0.556996;7460;3484;62810;55436
0.557996;7426;3560;62734;55456
0.558996;7396;3636;62660;55476
0.559996;7354;3712;62588;55498
0.560996;7320;3790;62512;55524
0.561996;7282;3866;62444;55544
0.562996;7248;3936;62370;55568
0.563996;7210;4016;62298;55590
0.564996;7172;4090;62222;55616
0.565996;7134;4162;62152;55642
0.566996;7096;4236;62082;55668
0.567996;7056;4314;62010;55688
0.568996;7016;4382;61936;55720
0.569996;6978;4460;61864;55746
0.570996;6934;4530;61794;55778
0.571996;6894;4606;61724;55806
0.572996;6852;4672;61652;55836
0.573996;6806;4748;61584;55860
0.574996;6764;4822;61514;55888
0.575996;6722;4894;61446;55916
0.576996;6684;4962;61372;55946
0.577996;6632;5028;61306;55978
0.578996;6588;5106;61236;56010
0.579996;6542;5168;61166;56042
0.580996;6496;5238;61098;56072
0.581996;6450;5308;61032;56104
0.582996;6408;5380;60960;56134
0.583996;6358;5444;60894;56168
0.584996;6308;5516;60824;56202
0.585996;6262;5584;60754;56238
0.586996;6210;5650;60690;56276
0.587996;6166;5720;60620;56308
0.588996;6116;5782;60556;56344
0.589996;6064;5854;60490;56384
0.590996;6014;5918;60420;56420
0.591996;5962;5984;60354;56458
0.592996;5908;6056;60286;56498
0.593996;5862;6118;60220;56532
0.594996;5806;6184;60156;56572
0.595996;5754;6250;60090;56608
0.596996;5700;6310;60032;56646
0.597996;5648;6370;59970;56686
0.598996;5596;6434;59904;56726
0.599996;5544;6496;59840;56768
0.600996;5488;6560;59774;56808
0.601996;5430;6618;59712;56844
0.602996;5380;6684;59646;56884
0.603996;5322;6742;59584;56926
0.604996;5266;6804;59518;56966
0.605996;5206;6866;59452;57014
0.606996;5152;6926;59398;57056
0.607996;5098;6980;59332;57100
0.608996;5040;7042;59270;57144
0.609996;4980;7100;59204;57190
0.610996;4924;7160;59146;57234
0.611996;4866;7212;59082;57284
0.612996;4808;7274;59020;57324
0.613996;4750;7330;58960;57374
0.614996;4690;7382;58900;57416
0.615996;4630;7438;58838;57464
0.616996;4570;7492;58782;57512
0.617996;4514;7548;58724;57562
0.618996;4450;7604;58662;57606
0.619996;4390;7658;58606;57656
0.620996;4328;7710;58548;57704
0.621996;4266;7762;58490;57754
0.622996;4206;7814;58430;57798
0.623996;4144;7866;58370;57842
0.624996;4082;7918;58314;57896
0.625996;4016;7970;58254;57948
0.626996;3954;8022;58196;57994
0.627995;3892;8068;58136;58046
0.628995;3830;8120;58082;58100
0.629995;3762;8170;58026;58154
0.630995;3700;8214;57966;58206
0.631995;3636;8264;57912;58260
0.632995;3574;8310;57860;58314
0.633995;3506;8360;57800;58362
0.634995;3444;8400;57748;58414
0.635995;3376;8448;57694;58470
0.636995;3310;8492;57638;58528
0.637995;3250;8540;57590;58584
0.638995;3182;8580;57532;58638
0.639995;3118;8622;57480;58692
0.640995;3046;8664;57428;58746
0.641995;2982;8708;57378;58800
0.642995;2916;8750;57326;58860
0.643995;2850;8790;57276;58918
0.644995;2784;8832;57222;58976
0.645995;2716;8874;57170;59034
0.646995;2648;8912;57122;59088
0.647995;2578;8950;57068;59144
0.648995;2516;8990;57022;59200
0.649995;2444;9026;56972;59264
0.650995;2380;9064;56924;59320
0.651995;2314;9098;56878;59382
0.652995;2246;9134;56826;59440
0.653995;2180;9172;56776;59498
0.654995;2112;9208;56732;59558
0.655995;2042;9244;56684;59624
0.656995;1982;9276;56640;59678
0.657995;1908;9310;56590;59738
0.658995;1840;9338;56546;59796
0.659995;1770;9370;56502;59858
0.660995;1700;9402;56450;59922
0.661995;1634;9434;56410;59986
0.662995;1566;9466;56364;60052
0.663995;1498;9498;56324;60114
0.664995;1428;9530;56276;60178
0.665995;1360;9558;56238;60246
0.666995;1290;9584;56192;60306
